Beds,Baths,Toilets,Is_new,Is_furnished,Is_serviced,Price,Property_type,Location
4.0,5.0,5.0,yes,yes,yes,85000000.0,house,Eti-Osa
5.0,6.0,6.0,yes,yes,no,160000000.0,house,Eti-Osa
4.0,5.0,5.0,yes,yes,no,68000000.0,house,Eti-Osa
5.0,6.0,6.0,yes,no,no,290000000.0,house,Eti-Osa
3.0,4.0,4.0,yes,yes,no,150000000.0,house,Eti-Osa
3.0,4.0,4.0,yes,no,yes,85000000.0,house,Eti-Osa
2.0,2.0,3.0,yes,no,yes,70000000.0,house,Eti-Osa
2.0,3.0,3.0,yes,no,yes,180000000.0,house,Eti-Osa
5.0,6.0,6.0,no,no,no,195000000.0,house,Eti-Osa
5.0,6.0,6.0,yes,no,no,550000000.0,house,Eti-Osa
5.0,6.0,6.0,yes,no,no,600000000.0,house,Eti-Osa
5.0,6.0,6.0,yes,no,no,330000000.0,house,Eti-Osa
5.0,6.0,6.0,yes,yes,no,480000000.0,house,Eti-Osa
3.0,4.0,4.0,yes,no,no,150000000.0,house,Ikeja
4.0,5.0,5.0,yes,no,no,70000000.0,house,Eti-Osa
4.0,5.0,5.0,yes,no,yes,80000000.0,house,Eti-Osa
5.0,6.0,6.0,yes,yes,no,185000000.0,house,Eti-Osa
4.0,5.0,5.0,yes,no,yes,65000000.0,house,Eti-Osa
4.0,5.0,5.0,yes,yes,no,130000000.0,house,Eti-Osa
3.0,4.0,4.0,yes,no,no,29000000.0,house,Eti-Osa
4.0,5.0,5.0,yes,no,no,160000000.0,house,Ikeja
4.0,5.0,5.0,yes,yes,no,120000000.0,house,Eti-Osa
4.0,5.0,5.0,yes,yes,no,85000000.0,house,Eti-Osa
4.0,5.0,5.0,yes,no,no,98000000.0,house,Eti-Osa
5.0,6.0,6.0,yes,yes,no,200000000.0,house,Eti-Osa
4.0,5.0,5.0,yes,yes,no,95000000.0,house,Eti-Osa
4.0,5.0,5.0,yes,yes,no,165000000.0,house,Eti-Osa
5.0,6.0,6.0,yes,yes,no,170000000.0,house,Eti-Osa
3.0,3.0,3.0,yes,no,yes,160000000.0,house,Eti-Osa
4.0,5.0,5.0,yes,no,no,85000000.0,house,Eti-Osa
5.0,6.0,6.0,yes,yes,no,208000000.0,house,Eti-Osa
4.0,5.0,5.0,yes,yes,no,78000000.0,house,Eti-Osa
3.0,4.0,4.0,yes,yes,no,45000000.0,house,Eti-Osa
4.0,5.0,5.0,yes,no,yes,75000000.0,house,Eti-Osa
4.0,5.0,5.0,yes,yes,no,75000000.0,house,Eti-Osa
5.0,6.0,6.0,yes,no,yes,195000000.0,house,Eti-Osa
5.0,6.0,6.0,yes,yes,no,230000000.0,house,Eti-Osa
4.0,5.0,5.0,yes,no,no,67000000.0,house,Eti-Osa
4.0,5.0,5.0,yes,yes,no,85000000.0,house,Eti-Osa
4.0,5.0,5.0,yes,yes,no,200000000.0,house,Eti-Osa
5.0,6.0,6.0,yes,no,no,80000000.0,house,Eti-Osa
5.0,6.0,6.0,yes,no,no,255000000.0,house,Eti-Osa
4.0,5.0,5.0,yes,no,no,85000000.0,house,Eti-Osa
