,Beds,Baths,Toilets,Is_new,Is_furnished,Is_serviced,Price,Property_type,Location
0,4.0,5.0,5.0,yes,yes,yes,85000000.0,house,Eti-Osa
1,5.0,6.0,6.0,yes,yes,no,160000000.0,house,Eti-Osa
2,4.0,5.0,5.0,yes,yes,no,68000000.0,house,Eti-Osa
3,5.0,6.0,6.0,yes,no,no,290000000.0,house,Eti-Osa
4,3.0,4.0,4.0,yes,yes,no,150000000.0,house,Eti-Osa
5,3.0,4.0,4.0,yes,no,yes,85000000.0,house,Eti-Osa
6,2.0,2.0,3.0,yes,no,yes,70000000.0,house,Eti-Osa
7,2.0,3.0,3.0,yes,no,yes,180000000.0,house,Eti-Osa
8,5.0,6.0,6.0,no,no,no,195000000.0,house,Eti-Osa
9,5.0,6.0,6.0,yes,no,no,550000000.0,house,Eti-Osa
10,5.0,6.0,6.0,yes,no,no,600000000.0,house,Eti-Osa
11,5.0,6.0,6.0,yes,no,no,330000000.0,house,Eti-Osa
12,5.0,6.0,6.0,yes,yes,no,480000000.0,house,Eti-Osa
13,3.0,4.0,4.0,yes,no,no,150000000.0,house,Ikeja
14,4.0,5.0,5.0,yes,no,no,70000000.0,house,Eti-Osa
15,4.0,5.0,5.0,yes,no,yes,80000000.0,house,Eti-Osa
16,5.0,6.0,6.0,yes,yes,no,185000000.0,house,Eti-Osa
17,4.0,5.0,5.0,yes,no,yes,65000000.0,house,Eti-Osa
18,4.0,5.0,5.0,yes,yes,no,130000000.0,house,Eti-Osa
19,3.0,4.0,4.0,yes,no,no,29000000.0,house,Eti-Osa
20,4.0,5.0,5.0,yes,no,no,160000000.0,house,Ikeja
21,4.0,5.0,5.0,yes,yes,no,120000000.0,house,Eti-Osa
22,4.0,5.0,5.0,yes,yes,no,85000000.0,house,Eti-Osa
23,4.0,5.0,5.0,yes,no,no,98000000.0,house,Eti-Osa
24,5.0,6.0,6.0,yes,yes,no,200000000.0,house,Eti-Osa
25,4.0,5.0,5.0,yes,yes,no,95000000.0,house,Eti-Osa
26,4.0,5.0,5.0,yes,yes,no,165000000.0,house,Eti-Osa
27,5.0,6.0,6.0,yes,yes,no,170000000.0,house,Eti-Osa
28,3.0,3.0,3.0,yes,no,yes,160000000.0,house,Eti-Osa
29,4.0,5.0,5.0,yes,no,no,85000000.0,house,Eti-Osa
30,5.0,6.0,6.0,yes,yes,no,208000000.0,house,Eti-Osa
31,4.0,5.0,5.0,yes,yes,no,78000000.0,house,Eti-Osa
32,3.0,4.0,4.0,yes,yes,no,45000000.0,house,Eti-Osa
33,4.0,5.0,5.0,yes,no,yes,75000000.0,house,Eti-Osa
34,4.0,5.0,5.0,yes,yes,no,75000000.0,house,Eti-Osa
35,5.0,6.0,6.0,yes,no,yes,195000000.0,house,Eti-Osa
